AOKF1045_g2_c 	 0.415524 	 cell organization and biogenesis
AOKG1426_g2_c 	 0.330284 	 death   
AOKG1426_g2_c 	 0.330284 	 developmental processes  
AOKG1426_g2_c 	 0.330284 	 other biological processes 
AOKG1426_g2_c 	 0.330284 	 other metabolic processes 
AOKG1426_g2_c 	 0.330284 	 signal transduction  
AOKG1426_g2_c 	 0.330284 	 stress response  
AOKG1457_g2_c 	 0.871814 	 RNA metabolism  
AOKG1457_g2_c 	 0.871814 	 other biological processes 
AOKG1527_g2_c 	 0.527457 	 RNA metabolism  
AOKG1527_g2_c 	 0.527457 	 developmental processes  
AOKG1527_g2_c 	 0.527457 	 other biological processes 
AOKG1631_g2_c 	 0.622858 	 cell cycle and proliferation
AOKG1631_g2_c 	 0.622858 	 other metabolic processes 
AOKG1631_g2_c 	 0.622858 	 protein metabolism  
AOKG1634_g2_c 	 0.478488 	 cell cycle and proliferation
AOKG1634_g2_c 	 0.478488 	 cell organization and biogenesis
AOKG1634_g2_c 	 0.478488 	 cell-cell signaling  
AOKG1634_g2_c 	 0.478488 	 developmental processes  
AOKG1634_g2_c 	 0.478488 	 other biological processes 
AOKG1634_g2_c 	 0.478488 	 protein metabolism  
AOKG1730_b2_c 	 0.852003 	 RNA metabolism  
AOKG1730_b2_c 	 0.852003 	 cell organization and biogenesis
AOKG1747_b2_c 	 0.556428 	 DNA metabolism  
AOKG1747_b2_c 	 0.556428 	 RNA metabolism  
AOKG1747_b2_c 	 0.556428 	 cell organization and biogenesis
AOKG1875_g2_c 	 0.240637 	 RNA metabolism  
AOKG1943_g2_c 	 0.675915 	 transport   
AOKG1992_g2_c 	 0.92708 	 developmental processes  
AOKG1992_g2_c 	 0.92708 	 other biological processes 
AOKG1992_g2_c 	 0.92708 	 other metabolic processes 
AOKG1992_g2_c 	 0.92708 	 protein metabolism  
AOKG1992_g2_c 	 0.92708 	 signal transduction  
AOKG1992_g2_c 	 0.92708 	 transport   
AOKG2029_b2_c 	 0.955552 	 protein metabolism  
AOKG2058_g2_c 	 0.267764 	 cell organization and biogenesis
AOKG2084_g2_c 	 0.878227 	 RNA metabolism  
AOKG2084_g2_c 	 0.878227 	 cell organization and biogenesis
AOKG2084_g2_c 	 0.878227 	 other metabolic processes 
AOKG2084_g2_c 	 0.878227 	 protein metabolism  
AOKG2095_g2_c 	 0.9302 	 protein metabolism  
AOKG2101_b2_c 	 0.861361 	 RNA metabolism  
AOKG2138_b2_c 	 0.770094 	 other metabolic processes 
AOKG2138_b2_c 	 0.770094 	 transport   
AOKG390_b2_c 	 0.990773 	 cell cycle and proliferation
AOKG390_b2_c 	 0.990773 	 cell organization and biogenesis
AOKG390_b2_c 	 0.990773 	 developmental processes  
AOKG390_b2_c 	 0.990773 	 signal transduction  
AOKG390_b2_c 	 0.990773 	 stress response  
AOKG422_b2_c 	 0.197061 	 cell adhesion  
AOKG422_b2_c 	 0.197061 	 signal transduction  
AOKG442_g2_c 	 1.05714 	 RNA metabolism  
AOKG442_g2_c 	 1.05714 	 cell organization and biogenesis
AOKG442_g2_c 	 1.05714 	 other biological processes 
AOKG442_g2_c 	 1.05714 	 other metabolic processes 
AOKG442_g2_c 	 1.05714 	 protein metabolism  
AOKG453_b2_c 	 0.352089 	 DNA metabolism  
AOKG476_g2_c 	 0.479837 	 cell organization and biogenesis
AOKG476_g2_c 	 0.479837 	 protein metabolism  
AOKG485_g2_c 	 0.619832 	 RNA metabolism  
AOKG500_b2_c 	 0.957014 	 RNA metabolism  
AOKG500_b2_c 	 0.957014 	 cell adhesion  
AOKG500_b2_c 	 0.957014 	 cell cycle and proliferation
AOKG500_b2_c 	 0.957014 	 cell organization and biogenesis
AOKG500_b2_c 	 0.957014 	 cell-cell signaling  
AOKG500_b2_c 	 0.957014 	 death   
AOKG500_b2_c 	 0.957014 	 developmental processes  
AOKG500_b2_c 	 0.957014 	 other biological processes 
AOKG500_b2_c 	 0.957014 	 other metabolic processes 
AOKG500_b2_c 	 0.957014 	 protein metabolism  
AOKG500_b2_c 	 0.957014 	 signal transduction  
AOKG500_b2_c 	 0.957014 	 stress response  
AOKG500_b2_c 	 0.957014 	 transport   
AOKG553_b2_c 	 0.429787 	 protein metabolism  
AOKG553_b2_c 	 0.429787 	 stress response  
AOKG573_g2_c 	 0.573387 	 DNA metabolism  
AOKG573_g2_c 	 0.573387 	 cell organization and biogenesis
AOKG573_g2_c 	 0.573387 	 death   
AOKG573_g2_c 	 0.573387 	 other biological processes 
AOKG573_g2_c 	 0.573387 	 transport   
AOKG634_b2_c 	 0.227717 	 cell adhesion  
AOKG634_b2_c 	 0.227717 	 signal transduction  
AOKG636_g2_c 	 0.291099 	 cell cycle and proliferation
AOKG636_g2_c 	 0.291099 	 cell organization and biogenesis
AOKG636_g2_c 	 0.291099 	 other biological processes 
AOKG649_g2_c 	 0.547387 	 DNA metabolism  
AOKG649_g2_c 	 0.547387 	 cell cycle and proliferation
AOKG649_g2_c 	 0.547387 	 cell organization and biogenesis
AOKG649_g2_c 	 0.547387 	 developmental processes  
AOKG649_g2_c 	 0.547387 	 other biological processes 
AOKG649_g2_c 	 0.547387 	 protein metabolism  
AOKG649_g2_c 	 0.547387 	 stress response  
CAFB1156_b2_c 	 0.653333 	 DNA metabolism  
CAFB1156_b2_c 	 0.653333 	 RNA metabolism  
CAFB1156_b2_c 	 0.653333 	 cell cycle and proliferation
CAFB1156_b2_c 	 0.653333 	 cell organization and biogenesis
CAFB1156_b2_c 	 0.653333 	 other biological processes 
CAFB1156_b2_c 	 0.653333 	 stress response  
CAFB1190_g2_c 	 0.583336 	 protein metabolism  
CAFB1190_g2_c 	 0.583336 	 transport   
CAFB1253_b2_c 	 0.924113 	 other metabolic processes 
CAFB1253_b2_c 	 0.924113 	 protein metabolism  
CAFB1254_b2_c 	 0.467449 	 protein metabolism  
CAFB1265_b2_c 	 0.849719 	 RNA metabolism  
CAFB1265_b2_c 	 0.849719 	 cell organization and biogenesis
CAFB1265_b2_c 	 0.849719 	 protein metabolism  
CAFB1316_b2_c 	 0.292951 	 other metabolic processes 
CAFB1316_b2_c 	 0.292951 	 transport   
CAFB1347_b2_c 	 0.444313 	 cell-cell signaling  
CAFB1347_b2_c 	 0.444313 	 transport   
CAFB1364_g2_c 	 0.839258 	 other biological processes 
CAFB1364_g2_c 	 0.839258 	 other metabolic processes 
CAFB1415_b2_c 	 0.272342 	 other metabolic processes 
CAFB1415_b2_c 	 0.272342 	 protein metabolism  
CAFB1532_b2_c 	 0.598696 	 protein metabolism  
CAFB1555_g2_c 	 0.191045 	 other metabolic processes 
CAFB1564_b2_c 	 0.464202 	 RNA metabolism  
CAFB1564_b2_c 	 0.464202 	 protein metabolism  
CAFB1564_b2_c 	 0.464202 	 signal transduction  
CAFB1628_g2_c 	 0.440072 	 protein metabolism  
CAFB1633_b2_c 	 0.113749 	 signal transduction  
CAFB1633_b2_c 	 0.113749 	 transport   
CAFB1699_b2_c 	 0.700216 	 RNA metabolism  
CAFB1699_b2_c 	 0.700216 	 cell cycle and proliferation
CAFB1699_b2_c 	 0.700216 	 cell organization and biogenesis
CAFB1716_g2_c 	 0.939072 	 protein metabolism  
CAFB1807_b2_c 	 0.459942 	 RNA metabolism  
CAFB1807_b2_c 	 0.459942 	 cell organization and biogenesis
CAFB1807_b2_c 	 0.459942 	 death   
CAFB1807_b2_c 	 0.459942 	 other biological processes 
CAFB1807_b2_c 	 0.459942 	 protein metabolism  
CAFB1922_b1_c 	 0.891372 	 cell adhesion  
CAFB1922_b1_c 	 0.891372 	 stress response  
CAFB1932_b1_c 	 0.348953 	 cell cycle and proliferation
CAFB1932_b1_c 	 0.348953 	 cell organization and biogenesis
CAFB1932_b1_c 	 0.348953 	 other biological processes 
CAFB1939_b1_c 	 0.725556 	 other metabolic processes 
CAFB1939_b1_c 	 0.725556 	 protein metabolism  
CAFB1961_g1_c 	 0.369524 	 other metabolic processes 
CAFB1972_b1_c 	 0.820922 	 cell adhesion  
CAFB2034_b1_c 	 0.752979 	 transport   
CAFB2036_b1_c 	 0.339501 	 other biological processes 
CAFB2036_b1_c 	 0.339501 	 other metabolic processes 
CAFB2036_b1_c 	 0.339501 	 stress response  
CAFB2040_b1_c 	 0.761278 	 developmental processes  
CAFB2042_b1_c 	 0.643325 	 DNA metabolism  
CAFB2045_b1_c 	 0.881292 	 other metabolic processes 
CAFB2045_b1_c 	 0.881292 	 protein metabolism  
CAFB2058_b1_c 	 0.976682 	 signal transduction  
CAFB2058_g1_c 	 0.55941 	 developmental processes  
CAFB2058_g1_c 	 0.55941 	 other biological processes 
CAFB2058_g1_c 	 0.55941 	 other metabolic processes 
CAFB2058_g1_c 	 0.55941 	 transport   
CAFB2069_b1_c 	 0.371769 	 other biological processes 
CAFB2069_b1_c 	 0.371769 	 transport   
CAFB2079_b1_c 	 0.869292 	 cell adhesion  
CAFB2103_b1_c 	 0.237514 	 other metabolic processes 
CAFB2103_b1_c 	 0.237514 	 protein metabolism  
CAFB2114_b1_c 	 0.259594 	 cell cycle and proliferation
CAFB2114_b1_c 	 0.259594 	 cell organization and biogenesis
CAFB2114_b1_c 	 0.259594 	 developmental processes  
CAFB2114_b1_c 	 0.259594 	 other biological processes 
CAFB2114_b1_c 	 0.259594 	 transport   
CAFB2133_b1_c 	 0.827425 	 RNA metabolism  
CAFB2148_b1_c 	 0.69783 	 cell cycle and proliferation
CAFB2148_b1_c 	 0.69783 	 other biological processes 
CAFB2148_b1_c 	 0.69783 	 protein metabolism  
CAFB2148_b1_c 	 0.69783 	 signal transduction  
CAFB2148_b1_c 	 0.69783 	 stress response  
CAFB2148_b1_c 	 0.69783 	 transport   
CAFB2170_b1_c 	 0.351168 	 DNA metabolism  
CAFB2170_b1_c 	 0.351168 	 RNA metabolism  
CAFB2170_b1_c 	 0.351168 	 cell organization and biogenesis
CAFB2170_b1_c 	 0.351168 	 developmental processes  
CAFB2170_b1_c 	 0.351168 	 other biological processes 
CAFB2170_b1_c 	 0.351168 	 protein metabolism  
CAFB2170_b1_c 	 0.351168 	 stress response  
CAFB2233_b1_c 	 0.844949 	 cell organization and biogenesis
CAFB2238_g1_c 	 0.405504 	 RNA metabolism  
CAFB2238_g1_c 	 0.405504 	 other biological processes 
CAFB2239_g1_c 	 0.821203 	 cell cycle and proliferation
CAFB2239_g1_c 	 0.821203 	 death   
CAFB2239_g1_c 	 0.821203 	 other biological processes 
CAFB2239_g1_c 	 0.821203 	 other metabolic processes 
CAFB2239_g1_c 	 0.821203 	 protein metabolism  
CAFB2239_g1_c 	 0.821203 	 signal transduction  
CAFB2289_b1_c 	 0.761603 	 RNA metabolism  
CAFB2289_b1_c 	 0.761603 	 cell cycle and proliferation
CAFB2289_b1_c 	 0.761603 	 developmental processes  
CAFB2289_b1_c 	 0.761603 	 signal transduction  
CAFB2346_g1_c 	 0.388828 	 protein metabolism  
CAFB2348_g1_c 	 0.756111 	 protein metabolism  
CAFB2357_g1_c 	 0.745528 	 RNA metabolism  
CAFB2476_g1_c 	 0.645796 	 other metabolic processes 
CAFB2596_g1_c 	 0.476783 	 protein metabolism  
CAFC1030_b1_c 	 0.153157 	 protein metabolism  
CAFC1060_g1_c 	 0.550437 	 protein metabolism  
CAFC1091_b1_c 	 0.328511 	 other metabolic processes 
CAFC1117_g1_c 	 0.182009 	 other metabolic processes 
CAFC1977_b2_c 	 0.620298 	 cell cycle and proliferation
CAFC1977_b2_c 	 0.620298 	 other metabolic processes 
CAFC1977_b2_c 	 0.620298 	 protein metabolism  
CAFC2055_b2_c 	 0.960072 	 RNA metabolism  
CAFC2055_b2_c 	 0.960072 	 cell organization and biogenesis
CAFC2055_b2_c 	 0.960072 	 other biological processes 
CAFC2055_b2_c 	 0.960072 	 other metabolic processes 
CAFC403_b1_c 	 0.211731 	 protein metabolism  
CAFC411_b1_c 	 0.685823 	 cell cycle and proliferation
CAFC411_b1_c 	 0.685823 	 death   
CAFC411_b1_c 	 0.685823 	 developmental processes  
CAFC411_b1_c 	 0.685823 	 other biological processes 
CAFC411_b1_c 	 0.685823 	 protein metabolism  
CAFC424_b1_c 	 0.773739 	 cell adhesion  
CAFC426_b1_c 	 0.733568 	 other biological processes 
CAFC426_b1_c 	 0.733568 	 other metabolic processes 
CAFC426_b1_c 	 0.733568 	 transport   
CAFC455_b1_c 	 0.316422 	 other biological processes 
CAFC455_b1_c 	 0.316422 	 other metabolic processes 
CAFC464_b1_c 	 0.131853 	 RNA metabolism  
CAFC468_b1_c 	 0.499873 	 DNA metabolism  
CAFC478_b1_c 	 0.392858 	 other biological processes 
CAFC483_b1_c 	 0.25699 	 other metabolic processes 
CAFC486_g1_c 	 0.31507 	 other metabolic processes 
CAFC486_g1_c 	 0.31507 	 signal transduction  
CAFC489_b1_c 	 0.460413 	 other biological processes 
CAFC489_b1_c 	 0.460413 	 signal transduction  
CAFC492_b1_c 	 1.0217 	 cell adhesion  
CAFC492_b1_c 	 1.0217 	 cell organization and biogenesis
CAFC492_b1_c 	 1.0217 	 developmental processes  
CAFC492_b1_c 	 1.0217 	 signal transduction  
CAFC557_b1_c 	 0.629054 	 cell adhesion  
CAFC557_b1_c 	 0.629054 	 developmental processes  
CAFC557_b1_c 	 0.629054 	 other biological processes 
CAFC557_b1_c 	 0.629054 	 signal transduction  
CAFC566_b1_c 	 0.818417 	 cell adhesion  
CAFC595_b1_c 	 0.844002 	 cell adhesion  
CAFC595_b1_c 	 0.844002 	 cell cycle and proliferation
CAFC595_b1_c 	 0.844002 	 cell organization and biogenesis
CAFC595_b1_c 	 0.844002 	 cell-cell signaling  
CAFC595_b1_c 	 0.844002 	 death   
CAFC595_b1_c 	 0.844002 	 developmental processes  
CAFC595_b1_c 	 0.844002 	 other biological processes 
CAFC595_b1_c 	 0.844002 	 signal transduction  
CAFC595_b1_c 	 0.844002 	 transport   
CAFC602_b1_c 	 0.482391 	 protein metabolism  
CAFC619_g1_c 	 0.602245 	 other metabolic processes 
CAFC627_b1_c 	 0.947744 	 death   
CAFC627_b1_c 	 0.947744 	 transport   
CAFC664_b1_c 	 0.357685 	 RNA metabolism  
CAFC695_b1_c 	 0.396155 	 cell adhesion  
CAFC695_b1_c 	 0.396155 	 signal transduction  
CAFC697_b1_c 	 0.611351 	 developmental processes  
CAFC697_b1_c 	 0.611351 	 other biological processes 
CAFC725_b1_c 	 1.1175 	 transport   
CAFC777_b1_c 	 0.0594598 	 cell organization and biogenesis
CAFC777_b1_c 	 0.0594598 	 developmental processes  
CAFC777_b1_c 	 0.0594598 	 other biological processes 
CAFC777_b1_c 	 0.0594598 	 other metabolic processes 
CAFC777_b1_c 	 0.0594598 	 protein metabolism  
CAFC781_b1_c 	 0.95996 	 cell adhesion  
CAFC833_b1_c 	 0.629218 	 cell adhesion  
CAFC833_b1_c 	 0.629218 	 cell cycle and proliferation
CAFC833_b1_c 	 0.629218 	 developmental processes  
CAFC833_b1_c 	 0.629218 	 other biological processes 
CAFC852_g1_c 	 0.728693 	 other biological processes 
CAFC856_b1_c 	 0.419025 	 RNA metabolism  
CAFC856_b1_c 	 0.419025 	 cell organization and biogenesis
CAFC856_b1_c 	 0.419025 	 death   
CAFC856_b1_c 	 0.419025 	 protein metabolism  
CAFC856_b1_c 	 0.419025 	 signal transduction  
CAFC856_b1_c 	 0.419025 	 transport   
CAFC893_b1_c 	 0.519935 	 cell organization and biogenesis
CAFC893_b1_c 	 0.519935 	 developmental processes  
CAFC893_b1_c 	 0.519935 	 other biological processes 
CAFC900_b1_c 	 0.225122 	 other metabolic processes 
CAFC976_b1_c 	 0.769232 	 death   
CAFC976_b1_c 	 0.769232 	 protein metabolism  
CAFC978_b1_c 	 0.887778 	 other biological processes 
CAFC978_b1_c 	 0.887778 	 protein metabolism  
CAFC978_b1_c 	 0.887778 	 stress response  
CAFC991_b1_c 	 0.397584 	 other metabolic processes 
CAFC991_b1_c 	 0.397584 	 protein metabolism  
CAFF2423_g1_c 	 0.490266 	 RNA metabolism  
CAFF2645_b1_c 	 0.588651 	 protein metabolism  
CAFF423_g1_c 	 0.903257 	 other biological processes 
