Spi_contig00032 	 0.484363 	 cell cycle and proliferation
Spi_isotig00141 	 0.656616 	 other metabolic processes 
Spi_isotig00142 	 0.64088 	 other metabolic processes 
Spi_isotig00143 	 0.651157 	 other metabolic processes 
Spi_isotig00144 	 0.634943 	 other metabolic processes 
Spi_isotig00145 	 0.65904 	 developmental processes  
Spi_isotig00145 	 0.65904 	 other biological processes 
Spi_isotig00145 	 0.65904 	 other metabolic processes 
Spi_isotig00145 	 0.65904 	 stress response  
Spi_isotig00145 	 0.65904 	 transport   
Spi_isotig00146 	 0.644178 	 developmental processes  
Spi_isotig00146 	 0.644178 	 other biological processes 
Spi_isotig00146 	 0.644178 	 other metabolic processes 
Spi_isotig00146 	 0.644178 	 stress response  
Spi_isotig00146 	 0.644178 	 transport   
Spi_isotig00153 	 0.604088 	 developmental processes  
Spi_isotig00153 	 0.604088 	 other biological processes 
Spi_isotig00153 	 0.604088 	 signal transduction  
Spi_isotig00154 	 0.597206 	 cell-cell signaling  
Spi_isotig00154 	 0.597206 	 cell organization and biogenesis
Spi_isotig00154 	 0.597206 	 developmental processes  
Spi_isotig00154 	 0.597206 	 other biological processes 
Spi_isotig00154 	 0.597206 	 other metabolic processes 
Spi_isotig00154 	 0.597206 	 RNA metabolism  
Spi_isotig00154 	 0.597206 	 signal transduction  
Spi_isotig00155 	 0.768166 	 cell-cell signaling  
Spi_isotig00155 	 0.768166 	 cell organization and biogenesis
Spi_isotig00155 	 0.768166 	 death   
Spi_isotig00155 	 0.768166 	 developmental processes  
Spi_isotig00155 	 0.768166 	 other biological processes 
Spi_isotig00155 	 0.768166 	 RNA metabolism  
Spi_isotig00155 	 0.768166 	 signal transduction  
Spi_isotig00156 	 0.760022 	 cell-cell signaling  
Spi_isotig00156 	 0.760022 	 cell organization and biogenesis
Spi_isotig00156 	 0.760022 	 developmental processes  
Spi_isotig00156 	 0.760022 	 other biological processes 
Spi_isotig00156 	 0.760022 	 other metabolic processes 
Spi_isotig00156 	 0.760022 	 RNA metabolism  
Spi_isotig00156 	 0.760022 	 signal transduction  
Spi_isotig00157 	 0.472791 	 other biological processes 
Spi_isotig00158 	 0.747569 	 developmental processes  
Spi_isotig00158 	 0.747569 	 other biological processes 
Spi_isotig00158 	 0.747569 	 signal transduction  
Spi_isotig00159 	 0.737633 	 cell cycle and proliferation
Spi_isotig00159 	 0.737633 	 death   
Spi_isotig00159 	 0.737633 	 developmental processes  
Spi_isotig00159 	 0.737633 	 other biological processes 
Spi_isotig00159 	 0.737633 	 signal transduction  
Spi_isotig00160 	 0.734785 	 cell-cell signaling  
Spi_isotig00160 	 0.734785 	 cell organization and biogenesis
Spi_isotig00160 	 0.734785 	 death   
Spi_isotig00160 	 0.734785 	 developmental processes  
Spi_isotig00160 	 0.734785 	 other biological processes 
Spi_isotig00160 	 0.734785 	 RNA metabolism  
Spi_isotig00160 	 0.734785 	 signal transduction  
Spi_isotig00162 	 0.580998 	 developmental processes  
Spi_isotig00163 	 0.563061 	 death   
Spi_isotig00163 	 0.563061 	 other biological processes 
Spi_isotig00163 	 0.563061 	 stress response  
Spi_isotig00163 	 0.563061 	 transport   
Spi_isotig00164 	 0.611841 	 developmental processes  
Spi_isotig00185 	 0.694329 	 cell organization and biogenesis
Spi_isotig00185 	 0.694329 	 other metabolic processes 
Spi_isotig00185 	 0.694329 	 stress response  
Spi_isotig00186 	 0.715044 	 cell organization and biogenesis
Spi_isotig00186 	 0.715044 	 other metabolic processes 
Spi_isotig00186 	 0.715044 	 stress response  
Spi_isotig00190 	 0.340857 	 cell organization and biogenesis
Spi_isotig00190 	 0.340857 	 RNA metabolism  
Spi_isotig00222 	 0.848683 	 cell organization and biogenesis
Spi_isotig00222 	 0.848683 	 developmental processes  
Spi_isotig00222 	 0.848683 	 other biological processes 
Spi_isotig00222 	 0.848683 	 transport   
Spi_isotig00224 	 0.655618 	 developmental processes  
Spi_isotig00224 	 0.655618 	 signal transduction  
Spi_isotig00226 	 0.656832 	 developmental processes  
Spi_isotig00226 	 0.656832 	 signal transduction  
Spi_isotig00258 	 0.658853 	 cell adhesion  
Spi_isotig00258 	 0.658853 	 developmental processes  
Spi_isotig00258 	 0.658853 	 other biological processes 
Spi_isotig00259 	 0.655475 	 cell adhesion  
Spi_isotig00259 	 0.655475 	 developmental processes  
Spi_isotig00259 	 0.655475 	 other biological processes 
Spi_isotig00262 	 0.661916 	 cell adhesion  
Spi_isotig00263 	 0.658191 	 cell adhesion  
Spi_isotig00263 	 0.658191 	 developmental processes  
Spi_isotig00263 	 0.658191 	 other biological processes 
Spi_isotig00266 	 0.535769 	 death   
Spi_isotig00266 	 0.535769 	 developmental processes  
Spi_isotig00266 	 0.535769 	 other biological processes 
Spi_isotig00266 	 0.535769 	 signal transduction  
Spi_isotig00268 	 0.502939 	 death   
Spi_isotig00268 	 0.502939 	 developmental processes  
Spi_isotig00268 	 0.502939 	 other biological processes 
Spi_isotig00268 	 0.502939 	 signal transduction  
Spi_isotig00271 	 0.440262 	 death   
Spi_isotig00271 	 0.440262 	 developmental processes  
Spi_isotig00271 	 0.440262 	 other biological processes 
Spi_isotig00271 	 0.440262 	 signal transduction  
Spi_isotig00302 	 0.281868 	 cell cycle and proliferation
Spi_isotig00302 	 0.281868 	 cell organization and biogenesis
Spi_isotig00302 	 0.281868 	 other biological processes 
Spi_isotig00302 	 0.281868 	 stress response  
Spi_isotig00304 	 0.353026 	 cell organization and biogenesis
Spi_isotig00304 	 0.353026 	 developmental processes  
Spi_isotig00304 	 0.353026 	 other biological processes 
Spi_isotig00304 	 0.353026 	 other metabolic processes 
Spi_isotig00304 	 0.353026 	 RNA metabolism  
Spi_isotig00304 	 0.353026 	 signal transduction  
Spi_isotig00304 	 0.353026 	 stress response  
Spi_isotig00305 	 0.352672 	 RNA metabolism  
Spi_isotig00305 	 0.352672 	 signal transduction  
Spi_isotig00306 	 0.35252 	 RNA metabolism  
Spi_isotig00306 	 0.35252 	 signal transduction  
Spi_isotig00306 	 0.35252 	 stress response  
Spi_isotig00307 	 0.346724 	 cell organization and biogenesis
Spi_isotig00307 	 0.346724 	 developmental processes  
Spi_isotig00307 	 0.346724 	 other biological processes 
Spi_isotig00307 	 0.346724 	 other metabolic processes 
Spi_isotig00307 	 0.346724 	 RNA metabolism  
Spi_isotig00307 	 0.346724 	 signal transduction  
Spi_isotig00307 	 0.346724 	 stress response  
Spi_isotig00308 	 0.35216 	 RNA metabolism  
Spi_isotig00308 	 0.35216 	 signal transduction  
Spi_isotig00309 	 0.346369 	 RNA metabolism  
Spi_isotig00309 	 0.346369 	 signal transduction  
Spi_isotig00309 	 0.346369 	 stress response  
Spi_isotig00310 	 0.394688 	 cell organization and biogenesis
Spi_isotig00310 	 0.394688 	 developmental processes  
Spi_isotig00310 	 0.394688 	 other biological processes 
Spi_isotig00310 	 0.394688 	 other metabolic processes 
Spi_isotig00310 	 0.394688 	 RNA metabolism  
Spi_isotig00310 	 0.394688 	 signal transduction  
Spi_isotig00310 	 0.394688 	 stress response  
Spi_isotig00311 	 0.394049 	 cell organization and biogenesis
Spi_isotig00311 	 0.394049 	 developmental processes  
Spi_isotig00311 	 0.394049 	 other biological processes 
Spi_isotig00311 	 0.394049 	 other metabolic processes 
Spi_isotig00311 	 0.394049 	 RNA metabolism  
Spi_isotig00311 	 0.394049 	 signal transduction  
Spi_isotig00311 	 0.394049 	 stress response  
Spi_isotig00328 	 1.00672 	 other metabolic processes 
Spi_isotig00328 	 1.00672 	 stress response  
Spi_isotig00336 	 0.759751 	 other metabolic processes 
Spi_isotig00341 	 0.920515 	 other biological processes 
Spi_isotig00341 	 0.920515 	 protein metabolism  
Spi_isotig00342 	 0.662254 	 RNA metabolism  
Spi_isotig00343 	 0.698504 	 RNA metabolism  
Spi_isotig00351 	 0.912915 	 developmental processes  
Spi_isotig00351 	 0.912915 	 other biological processes 
Spi_isotig00381 	 0.918723 	 developmental processes  
Spi_isotig00381 	 0.918723 	 RNA metabolism  
Spi_isotig00382 	 1.07384 	 developmental processes  
Spi_isotig00382 	 1.07384 	 RNA metabolism  
Spi_isotig00386 	 1.06319 	 developmental processes  
Spi_isotig00386 	 1.06319 	 other biological processes 
Spi_isotig00386 	 1.06319 	 RNA metabolism  
Spi_isotig00388 	 1.04172 	 developmental processes  
Spi_isotig00388 	 1.04172 	 RNA metabolism  
Spi_isotig00390 	 0.365991 	 RNA metabolism  
Spi_isotig00391 	 0.365544 	 RNA metabolism  
Spi_isotig00392 	 0.293563 	 RNA metabolism  
Spi_isotig00394 	 0.285485 	 RNA metabolism  
Spi_isotig00395 	 0.343224 	 RNA metabolism  
Spi_isotig00396 	 0.430295 	 RNA metabolism  
Spi_isotig00397 	 0.337916 	 RNA metabolism  
Spi_isotig00399 	 0.710549 	 cell organization and biogenesis
Spi_isotig00399 	 0.710549 	 transport   
Spi_isotig00400 	 0.700676 	 other biological processes 
Spi_isotig00400 	 0.700676 	 other metabolic processes 
Spi_isotig00401 	 0.708499 	 stress response  
Spi_isotig00402 	 0.70979 	 cell adhesion  
Spi_isotig00402 	 0.70979 	 developmental processes  
Spi_isotig00402 	 0.70979 	 other biological processes 
Spi_isotig00405 	 0.728934 	 cell organization and biogenesis
Spi_isotig00405 	 0.728934 	 transport   
Spi_isotig00406 	 0.711433 	 other biological processes 
Spi_isotig00406 	 0.711433 	 other metabolic processes 
Spi_isotig00407 	 0.728391 	 stress response  
Spi_isotig00417 	 0.192261 	 transport   
Spi_isotig00420 	 0.122247 	 transport   
Spi_isotig00421 	 0.148361 	 other biological processes 
Spi_isotig00421 	 0.148361 	 transport   
Spi_isotig00423 	 0.258332 	 transport   
Spi_isotig00424 	 0.287542 	 other biological processes 
Spi_isotig00424 	 0.287542 	 transport   
Spi_isotig00426 	 0.468878 	 protein metabolism  
Spi_isotig00427 	 0.460384 	 protein metabolism  
Spi_isotig00432 	 0.893603 	 other biological processes 
Spi_isotig00432 	 0.893603 	 other metabolic processes 
Spi_isotig00432 	 0.893603 	 stress response  
Spi_isotig00435 	 0.889698 	 other biological processes 
Spi_isotig00435 	 0.889698 	 other metabolic processes 
Spi_isotig00435 	 0.889698 	 stress response  
Spi_isotig00436 	 0.953907 	 other metabolic processes 
Spi_isotig00437 	 0.864299 	 other metabolic processes 
Spi_isotig00438 	 0.734796 	 other biological processes 
Spi_isotig00438 	 0.734796 	 other metabolic processes 
Spi_isotig00438 	 0.734796 	 stress response  
Spi_isotig00439 	 0.571659 	 other metabolic processes 
Spi_isotig00440 	 0.564162 	 other metabolic processes 
Spi_isotig00443 	 0.451585 	 other metabolic processes 
Spi_isotig00471 	 0.20849 	 RNA metabolism  
Spi_isotig00473 	 0.344527 	 cell organization and biogenesis
Spi_isotig00474 	 0.382766 	 cell organization and biogenesis
Spi_isotig00474 	 0.382766 	 developmental processes  
Spi_isotig00475 	 0.35008 	 cell organization and biogenesis
Spi_isotig00476 	 0.38885 	 other biological processes 
Spi_isotig00488 	 0.501001 	 signal transduction  
Spi_isotig00488 	 0.501001 	 transport   
Spi_isotig00489 	 0.489132 	 signal transduction  
Spi_isotig00489 	 0.489132 	 transport   
Spi_isotig00501 	 0.643076 	 RNA metabolism  
Spi_isotig00501 	 0.643076 	 signal transduction  
Spi_isotig00502 	 0.659022 	 other metabolic processes 
Spi_isotig00502 	 0.659022 	 RNA metabolism  
Spi_isotig00502 	 0.659022 	 signal transduction  
Spi_isotig00502 	 0.659022 	 stress response  
Spi_isotig00503 	 0.641822 	 RNA metabolism  
Spi_isotig00503 	 0.641822 	 signal transduction  
Spi_isotig00504 	 0.653084 	 other biological processes 
Spi_isotig00504 	 0.653084 	 signal transduction  
Spi_isotig00505 	 0.657712 	 cell organization and biogenesis
Spi_isotig00505 	 0.657712 	 developmental processes  
Spi_isotig00505 	 0.657712 	 other biological processes 
Spi_isotig00505 	 0.657712 	 other metabolic processes 
Spi_isotig00505 	 0.657712 	 signal transduction  
Spi_isotig00505 	 0.657712 	 stress response  
Spi_isotig00505 	 0.657712 	 transport   
Spi_isotig00506 	 0.669205 	 other metabolic processes 
Spi_isotig00506 	 0.669205 	 RNA metabolism  
Spi_isotig00506 	 0.669205 	 signal transduction  
Spi_isotig00506 	 0.669205 	 stress response  
Spi_isotig00507 	 0.651784 	 RNA metabolism  
Spi_isotig00507 	 0.651784 	 signal transduction  
Spi_isotig00508 	 0.667846 	 other metabolic processes 
Spi_isotig00508 	 0.667846 	 RNA metabolism  
Spi_isotig00508 	 0.667846 	 signal transduction  
Spi_isotig00508 	 0.667846 	 stress response  
Spi_isotig00509 	 0.614524 	 other metabolic processes 
Spi_isotig00510 	 0.601028 	 other metabolic processes 
Spi_isotig00511 	 0.617937 	 other metabolic processes 
Spi_isotig00513 	 0.745248 	 cell organization and biogenesis
Spi_isotig00513 	 0.745248 	 developmental processes  
Spi_isotig00513 	 0.745248 	 other metabolic processes 
Spi_isotig00514 	 0.762367 	 cell organization and biogenesis
Spi_isotig00514 	 0.762367 	 developmental processes  
Spi_isotig00514 	 0.762367 	 other metabolic processes 
Spi_isotig00515 	 0.34112 	 protein metabolism  
Spi_isotig00516 	 0.36184 	 protein metabolism  
Spi_isotig00517 	 0.339833 	 protein metabolism  
Spi_isotig00518 	 0.360477 	 protein metabolism  
Spi_isotig00519 	 0.361016 	 protein metabolism  
Spi_isotig00520 	 0.381614 	 protein metabolism  
Spi_isotig00527 	 0.891979 	 other metabolic processes 
Spi_isotig00528 	 0.913192 	 developmental processes  
Spi_isotig00528 	 0.913192 	 other metabolic processes 
Spi_isotig00528 	 0.913192 	 stress response  
Spi_isotig00529 	 0.891084 	 other metabolic processes 
Spi_isotig00530 	 0.914351 	 other metabolic processes 
Spi_isotig00531 	 0.684212 	 other metabolic processes 
Spi_isotig00531 	 0.684212 	 transport   
Spi_isotig00545 	 0.747564 	 other metabolic processes 
Spi_isotig00545 	 0.747564 	 transport   
Spi_isotig00546 	 0.75044 	 other metabolic processes 
Spi_isotig00546 	 0.75044 	 transport   
Spi_isotig00555 	 0.799527 	 developmental processes  
Spi_isotig00556 	 0.801132 	 developmental processes  
Spi_isotig00573 	 0.358043 	 other biological processes 
Spi_isotig00575 	 0.373565 	 other biological processes 
Spi_isotig00576 	 0.361138 	 other biological processes 
Spi_isotig00577 	 0.387681 	 other biological processes 
Spi_isotig00578 	 0.374431 	 other biological processes 
Spi_isotig00580 	 0.617022 	 other biological processes 
Spi_isotig00594 	 0.420685 	 other metabolic processes 
Spi_isotig00595 	 0.437841 	 other metabolic processes 
Spi_isotig00596 	 0.4002 	 other metabolic processes 
Spi_isotig00615 	 0.877358 	 cell adhesion  
Spi_isotig00616 	 0.939317 	 cell adhesion  
Spi_isotig00619 	 0.886669 	 cell organization and biogenesis
Spi_isotig00619 	 0.886669 	 other biological processes 
Spi_isotig00643 	 0.754312 	 developmental processes  
Spi_isotig00643 	 0.754312 	 other metabolic processes 
Spi_isotig00643 	 0.754312 	 signal transduction  
Spi_isotig00643 	 0.754312 	 stress response  
Spi_isotig00644 	 0.713116 	 developmental processes  
Spi_isotig00644 	 0.713116 	 other metabolic processes 
Spi_isotig00644 	 0.713116 	 signal transduction  
Spi_isotig00644 	 0.713116 	 stress response  
Spi_isotig00645 	 0.74071 	 cell cycle and proliferation
Spi_isotig00645 	 0.74071 	 developmental processes  
Spi_isotig00645 	 0.74071 	 other biological processes 
Spi_isotig00645 	 0.74071 	 signal transduction  
Spi_isotig00655 	 0.153536 	 transport   
Spi_isotig00663 	 0.253485 	 transport   
Spi_isotig00673 	 0.410394 	 cell organization and biogenesis
Spi_isotig00673 	 0.410394 	 other metabolic processes 
Spi_isotig00673 	 0.410394 	 protein metabolism  
Spi_isotig00673 	 0.410394 	 transport   
Spi_isotig00674 	 0.413647 	 protein metabolism  
Spi_isotig00675 	 0.419054 	 transport   
Spi_isotig00676 	 0.422448 	 cell organization and biogenesis
Spi_isotig00676 	 0.422448 	 other metabolic processes 
Spi_isotig00676 	 0.422448 	 protein metabolism  
Spi_isotig00676 	 0.422448 	 transport   
Spi_isotig00677 	 0.979324 	 cell organization and biogenesis
Spi_isotig00677 	 0.979324 	 death   
Spi_isotig00677 	 0.979324 	 RNA metabolism  
Spi_isotig00677 	 0.979324 	 signal transduction  
Spi_isotig00678 	 0.988745 	 death   
Spi_isotig00678 	 0.988745 	 other biological processes 
Spi_isotig00678 	 0.988745 	 protein metabolism  
Spi_isotig00678 	 0.988745 	 RNA metabolism  
Spi_isotig00678 	 0.988745 	 signal transduction  
Spi_isotig00678 	 0.988745 	 stress response  
Spi_isotig00679 	 0.96119 	 death   
Spi_isotig00679 	 0.96119 	 other biological processes 
Spi_isotig00679 	 0.96119 	 protein metabolism  
Spi_isotig00679 	 0.96119 	 RNA metabolism  
Spi_isotig00679 	 0.96119 	 signal transduction  
Spi_isotig00681 	 0.783646 	 cell organization and biogenesis
Spi_isotig00681 	 0.783646 	 other metabolic processes 
Spi_isotig00681 	 0.783646 	 stress response  
Spi_isotig00682 	 0.77539 	 cell organization and biogenesis
Spi_isotig00682 	 0.77539 	 other biological processes 
Spi_isotig00682 	 0.77539 	 other metabolic processes 
Spi_isotig00682 	 0.77539 	 signal transduction  
Spi_isotig00682 	 0.77539 	 stress response  
Spi_isotig00683 	 0.804909 	 cell organization and biogenesis
Spi_isotig00683 	 0.804909 	 other biological processes 
Spi_isotig00683 	 0.804909 	 other metabolic processes 
Spi_isotig00683 	 0.804909 	 stress response  
Spi_isotig00685 	 0.935006 	 other metabolic processes 
Spi_isotig00686 	 0.918182 	 other metabolic processes 
Spi_isotig00687 	 0.96558 	 other metabolic processes 
Spi_isotig00688 	 0.948884 	 other metabolic processes 
Spi_isotig00689 	 0.409535 	 cell organization and biogenesis
Spi_isotig00689 	 0.409535 	 other biological processes 
Spi_isotig00690 	 0.428095 	 developmental processes  
Spi_isotig00690 	 0.428095 	 other biological processes 
Spi_isotig00690 	 0.428095 	 protein metabolism  
Spi_isotig00694 	 0.267189 	 other biological processes 
Spi_isotig00710 	 0.840007 	 death   
Spi_isotig00711 	 0.795027 	 death   
Spi_isotig00712 	 0.917777 	 death   
Spi_isotig00719 	 0.595943 	 RNA metabolism  
Spi_isotig00720 	 0.850976 	 RNA metabolism  
Spi_isotig00723 	 0.662553 	 other biological processes 
Spi_isotig00728 	 0.681669 	 cell organization and biogenesis
Spi_isotig00728 	 0.681669 	 other metabolic processes 
Spi_isotig00728 	 0.681669 	 RNA metabolism  
Spi_isotig00728 	 0.681669 	 transport   
Spi_isotig00729 	 0.712813 	 cell adhesion  
Spi_isotig00731 	 0.786449 	 cell adhesion  
Spi_isotig00732 	 0.705345 	 cell-cell signaling  
Spi_isotig00732 	 0.705345 	 cell organization and biogenesis
Spi_isotig00732 	 0.705345 	 developmental processes  
Spi_isotig00732 	 0.705345 	 transport   
Spi_isotig00733 	 0.942368 	 other metabolic processes 
Spi_isotig00733 	 0.942368 	 protein metabolism  
Spi_isotig00733 	 0.942368 	 signal transduction  
Spi_isotig00734 	 0.813829 	 other metabolic processes 
Spi_isotig00734 	 0.813829 	 protein metabolism  
Spi_isotig00735 	 0.787072 	 other metabolic processes 
Spi_isotig00735 	 0.787072 	 protein metabolism  
Spi_isotig00736 	 0.789092 	 developmental processes  
Spi_isotig00736 	 0.789092 	 other metabolic processes 
Spi_isotig00736 	 0.789092 	 protein metabolism  
Spi_isotig00738 	 0.47301 	 other biological processes 
Spi_isotig00747 	 0.780379 	 stress response  
Spi_isotig00754 	 0.50811 	 cell organization and biogenesis
Spi_isotig00754 	 0.50811 	 developmental processes  
Spi_isotig00754 	 0.50811 	 other metabolic processes 
Spi_isotig00754 	 0.50811 	 protein metabolism  
Spi_isotig00754 	 0.50811 	 signal transduction  
Spi_isotig00759 	 0.424925 	 transport   
Spi_isotig00767 	 0.605298 	 other biological processes 
Spi_isotig00767 	 0.605298 	 other metabolic processes 
Spi_isotig00767 	 0.605298 	 protein metabolism  
Spi_isotig00769 	 0.525414 	 other metabolic processes 
Spi_isotig00769 	 0.525414 	 protein metabolism  
Spi_isotig00776 	 0.597275 	 stress response  
Spi_isotig00784 	 0.434135 	 other biological processes 
Spi_isotig00786 	 0.797198 	 cell organization and biogenesis
Spi_isotig00786 	 0.797198 	 other metabolic processes 
Spi_isotig00786 	 0.797198 	 transport   
Spi_isotig00787 	 0.785982 	 protein metabolism  
Spi_isotig00791 	 0.341214 	 cell organization and biogenesis
Spi_isotig00792 	 0.344433 	 cell organization and biogenesis
Spi_isotig00793 	 0.371383 	 cell organization and biogenesis
Spi_isotig00804 	 0.372274 	 other biological processes 
Spi_isotig00804 	 0.372274 	 other metabolic processes 
Spi_isotig00804 	 0.372274 	 RNA metabolism  
Spi_isotig00806 	 0.39866 	 other biological processes 
Spi_isotig00806 	 0.39866 	 RNA metabolism  
Spi_isotig00817 	 0.791052 	 other metabolic processes 
Spi_isotig00826 	 0.532601 	 developmental processes  
Spi_isotig00826 	 0.532601 	 other biological processes 
Spi_isotig00826 	 0.532601 	 other metabolic processes 
Spi_isotig00826 	 0.532601 	 signal transduction  
Spi_isotig00826 	 0.532601 	 stress response  
Spi_isotig00827 	 0.532828 	 other biological processes 
Spi_isotig00827 	 0.532828 	 other metabolic processes 
Spi_isotig00827 	 0.532828 	 protein metabolism  
Spi_isotig00828 	 0.492588 	 developmental processes  
Spi_isotig00828 	 0.492588 	 other biological processes 
Spi_isotig00828 	 0.492588 	 other metabolic processes 
Spi_isotig00828 	 0.492588 	 signal transduction  
Spi_isotig00828 	 0.492588 	 stress response  
Spi_isotig00829 	 0.492834 	 other biological processes 
Spi_isotig00829 	 0.492834 	 other metabolic processes 
Spi_isotig00829 	 0.492834 	 protein metabolism  
Spi_isotig00831 	 0.504846 	 other biological processes 
Spi_isotig00833 	 0.527628 	 other biological processes 
Spi_isotig00836 	 0.814678 	 cell adhesion  
Spi_isotig00837 	 0.80163 	 cell adhesion  
Spi_isotig00838 	 0.957779 	 other metabolic processes 
