Locus_10004_Transcript_1/1_Confidence_1.000_Length_174_transcripts_v2_10976 	 0.230119 	 transport   
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476 	 0.417774 	 cell cycle and proliferation
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476 	 0.417774 	 cell organization and biogenesis
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476 	 0.417774 	 death   
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476 	 0.417774 	 developmental processes  
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476 	 0.417774 	 other biological processes 
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476 	 0.417774 	 other metabolic processes 
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476 	 0.417774 	 protein metabolism  
Locus_10085_Transcript_1/2_Confidence_1.000_Length_1577_transcripts_v2_476 	 0.417774 	 signal transduction  
Locus_10085_Transcript_2/2_Confidence_1.000_Length_1739_transcripts_v2_354 	 0.454514 	 RNA metabolism  
Locus_10085_Transcript_2/2_Confidence_1.000_Length_1739_transcripts_v2_354 	 0.454514 	 cell adhesion  
Locus_10085_Transcript_2/2_Confidence_1.000_Length_1739_transcripts_v2_354 	 0.454514 	 cell cycle and proliferation
Locus_10085_Transcript_2/2_Confidence_1.000_Length_1739_transcripts_v2_354 	 0.454514 	 cell organization and biogenesis
Locus_10085_Transcript_2/2_Confidence_1.000_Length_1739_transcripts_v2_354 	 0.454514 	 death   
Locus_10085_Transcript_2/2_Confidence_1.000_Length_1739_transcripts_v2_354 	 0.454514 	 developmental processes  
Locus_10085_Transcript_2/2_Confidence_1.000_Length_1739_transcripts_v2_354 	 0.454514 	 other biological processes 
Locus_10085_Transcript_2/2_Confidence_1.000_Length_1739_transcripts_v2_354 	 0.454514 	 other metabolic processes 
Locus_10085_Transcript_2/2_Confidence_1.000_Length_1739_transcripts_v2_354 	 0.454514 	 protein metabolism  
Locus_10085_Transcript_2/2_Confidence_1.000_Length_1739_transcripts_v2_354 	 0.454514 	 signal transduction  
Locus_10105_Transcript_1/1_Confidence_1.000_Length_417_transcripts_v2_4466 	 0.955798 	 transport   
Locus_10110_Transcript_3/3_Confidence_0.750_Length_3307_transcripts_v2_55 	 0.779497 	 cell cycle and proliferation
Locus_10110_Transcript_3/3_Confidence_0.750_Length_3307_transcripts_v2_55 	 0.779497 	 death   
Locus_10110_Transcript_3/3_Confidence_0.750_Length_3307_transcripts_v2_55 	 0.779497 	 other metabolic processes 
Locus_10110_Transcript_3/3_Confidence_0.750_Length_3307_transcripts_v2_55 	 0.779497 	 protein metabolism  
Locus_10110_Transcript_3/3_Confidence_0.750_Length_3307_transcripts_v2_55 	 0.779497 	 signal transduction  
Locus_10115_Transcript_1/1_Confidence_1.000_Length_734_transcripts_v2_2162 	 0.397728 	 cell organization and biogenesis
Locus_10115_Transcript_1/1_Confidence_1.000_Length_734_transcripts_v2_2162 	 0.397728 	 other metabolic processes 
Locus_10115_Transcript_1/1_Confidence_1.000_Length_734_transcripts_v2_2162 	 0.397728 	 stress response  
Locus_10115_Transcript_1/1_Confidence_1.000_Length_734_transcripts_v2_2162 	 0.397728 	 transport   
Locus_10120_Transcript_1/1_Confidence_1.000_Length_330_transcripts_v2_5652 	 0.962918 	 other metabolic processes 
Locus_10123_Transcript_1/1_Confidence_1.000_Length_175_transcripts_v2_10897 	 1.10435 	 other metabolic processes 
Locus_10128_Transcript_1/1_Confidence_1.000_Length_177_transcripts_v2_10762 	 0.360335 	 developmental processes  
Locus_10128_Transcript_1/1_Confidence_1.000_Length_177_transcripts_v2_10762 	 0.360335 	 other metabolic processes 
Locus_10128_Transcript_1/1_Confidence_1.000_Length_177_transcripts_v2_10762 	 0.360335 	 protein metabolism  
Locus_10154_Transcript_1/1_Confidence_1.000_Length_814_transcripts_v2_1810 	 0.650889 	 cell organization and biogenesis
Locus_10158_Transcript_1/1_Confidence_1.000_Length_521_transcripts_v2_3503 	 0.256302 	 other metabolic processes 
Locus_10162_Transcript_1/1_Confidence_1.000_Length_768_transcripts_v2_2006 	 1.29097 	 RNA metabolism  
Locus_10162_Transcript_1/1_Confidence_1.000_Length_768_transcripts_v2_2006 	 1.29097 	 cell organization and biogenesis
Locus_10162_Transcript_1/1_Confidence_1.000_Length_768_transcripts_v2_2006 	 1.29097 	 protein metabolism  
Locus_10169_Transcript_1/1_Confidence_1.000_Length_353_transcripts_v2_5293 	 0.167933 	 RNA metabolism  
Locus_10169_Transcript_1/1_Confidence_1.000_Length_353_transcripts_v2_5293 	 0.167933 	 cell cycle and proliferation
Locus_10169_Transcript_1/1_Confidence_1.000_Length_353_transcripts_v2_5293 	 0.167933 	 cell organization and biogenesis
Locus_10169_Transcript_1/1_Confidence_1.000_Length_353_transcripts_v2_5293 	 0.167933 	 other biological processes 
Locus_10169_Transcript_1/1_Confidence_1.000_Length_353_transcripts_v2_5293 	 0.167933 	 other metabolic processes 
Locus_10169_Transcript_1/1_Confidence_1.000_Length_353_transcripts_v2_5293 	 0.167933 	 protein metabolism  
Locus_10169_Transcript_1/1_Confidence_1.000_Length_353_transcripts_v2_5293 	 0.167933 	 signal transduction  
Locus_10174_Transcript_1/1_Confidence_1.000_Length_203_transcripts_v2_9329 	 0.39044 	 protein metabolism  
Locus_10176_Transcript_1/1_Confidence_1.000_Length_406_transcripts_v2_4580 	 0.609368 	 protein metabolism  
Locus_10179_Transcript_1/1_Confidence_1.000_Length_1314_transcripts_v2_729 	 0.406699 	 other biological processes 
Locus_1017_Transcript_1/1_Confidence_1.000_Length_1316_transcripts_v2_726 	 0.750651 	 RNA metabolism  
Locus_1017_Transcript_1/1_Confidence_1.000_Length_1316_transcripts_v2_726 	 0.750651 	 cell organization and biogenesis
Locus_1017_Transcript_1/1_Confidence_1.000_Length_1316_transcripts_v2_726 	 0.750651 	 death   
Locus_10181_Transcript_1/3_Confidence_0.400_Length_622_transcripts_v2_2794 	 0.678651 	 other metabolic processes 
Locus_10183_Transcript_1/1_Confidence_1.000_Length_487_transcripts_v2_3786 	 0.492931 	 transport   
Locus_10188_Transcript_1/1_Confidence_1.000_Length_363_transcripts_v2_5161 	 0.665757 	 other metabolic processes 
Locus_10188_Transcript_1/1_Confidence_1.000_Length_363_transcripts_v2_5161 	 0.665757 	 stress response  
Locus_10190_Transcript_1/2_Confidence_1.000_Length_550_transcripts_v2_3277 	 0.409758 	 cell-cell signaling  
Locus_10190_Transcript_1/2_Confidence_1.000_Length_550_transcripts_v2_3277 	 0.409758 	 other biological processes 
Locus_10190_Transcript_1/2_Confidence_1.000_Length_550_transcripts_v2_3277 	 0.409758 	 other metabolic processes 
Locus_10193_Transcript_1/1_Confidence_1.000_Length_650_transcripts_v2_2638 	 0.224135 	 other metabolic processes 
Locus_10193_Transcript_1/1_Confidence_1.000_Length_650_transcripts_v2_2638 	 0.224135 	 protein metabolism  
Locus_10201_Transcript_1/1_Confidence_1.000_Length_2408_transcripts_v2_126 	 0.434355 	 cell organization and biogenesis
Locus_10201_Transcript_1/1_Confidence_1.000_Length_2408_transcripts_v2_126 	 0.434355 	 other biological processes 
Locus_10201_Transcript_1/1_Confidence_1.000_Length_2408_transcripts_v2_126 	 0.434355 	 protein metabolism  
Locus_10201_Transcript_1/1_Confidence_1.000_Length_2408_transcripts_v2_126 	 0.434355 	 transport   
Locus_10221_Transcript_1/1_Confidence_1.000_Length_188_transcripts_v2_10083 	 0.158962 	 other metabolic processes 
Locus_10223_Transcript_1/1_Confidence_1.000_Length_220_transcripts_v2_8578 	 1.83559 	 transport   
Locus_10226_Transcript_1/1_Confidence_1.000_Length_248_transcripts_v2_7533 	 0.420047 	 RNA metabolism  
Locus_10229_Transcript_1/2_Confidence_1.000_Length_789_transcripts_v2_1914 	 0.884094 	 cell adhesion  
Locus_10229_Transcript_1/2_Confidence_1.000_Length_789_transcripts_v2_1914 	 0.884094 	 cell organization and biogenesis
Locus_10229_Transcript_1/2_Confidence_1.000_Length_789_transcripts_v2_1914 	 0.884094 	 cell-cell signaling  
Locus_10229_Transcript_1/2_Confidence_1.000_Length_789_transcripts_v2_1914 	 0.884094 	 developmental processes  
Locus_10229_Transcript_1/2_Confidence_1.000_Length_789_transcripts_v2_1914 	 0.884094 	 other biological processes 
Locus_10229_Transcript_1/2_Confidence_1.000_Length_789_transcripts_v2_1914 	 0.884094 	 signal transduction  
Locus_10229_Transcript_1/2_Confidence_1.000_Length_789_transcripts_v2_1914 	 0.884094 	 stress response  
Locus_10241_Transcript_1/1_Confidence_1.000_Length_353_transcripts_v2_5294 	 0.834084 	 cell cycle and proliferation
Locus_10241_Transcript_1/1_Confidence_1.000_Length_353_transcripts_v2_5294 	 0.834084 	 cell organization and biogenesis
Locus_10241_Transcript_1/1_Confidence_1.000_Length_353_transcripts_v2_5294 	 0.834084 	 other biological processes 
Locus_10241_Transcript_1/1_Confidence_1.000_Length_353_transcripts_v2_5294 	 0.834084 	 transport   
Locus_10242_Transcript_1/1_Confidence_1.000_Length_663_transcripts_v2_2554 	 1.03235 	 developmental processes  
Locus_10242_Transcript_1/1_Confidence_1.000_Length_663_transcripts_v2_2554 	 1.03235 	 other biological processes 
Locus_10242_Transcript_1/1_Confidence_1.000_Length_663_transcripts_v2_2554 	 1.03235 	 protein metabolism  
Locus_10256_Transcript_1/1_Confidence_1.000_Length_889_transcripts_v2_1562 	 0.37458 	 other metabolic processes 
Locus_10256_Transcript_1/1_Confidence_1.000_Length_889_transcripts_v2_1562 	 0.37458 	 protein metabolism  
Locus_10258_Transcript_1/1_Confidence_1.000_Length_522_transcripts_v2_3491 	 0.117515 	 other metabolic processes 
Locus_10264_Transcript_1/3_Confidence_0.500_Length_1885_transcripts_v2_271 	 0.643855 	 death   
Locus_10264_Transcript_1/3_Confidence_0.500_Length_1885_transcripts_v2_271 	 0.643855 	 protein metabolism  
Locus_10264_Transcript_1/3_Confidence_0.500_Length_1885_transcripts_v2_271 	 0.643855 	 signal transduction  
Locus_10264_Transcript_2/3_Confidence_0.500_Length_1802_transcripts_v2_321 	 0.603899 	 death   
Locus_10264_Transcript_2/3_Confidence_0.500_Length_1802_transcripts_v2_321 	 0.603899 	 protein metabolism  
Locus_10264_Transcript_2/3_Confidence_0.500_Length_1802_transcripts_v2_321 	 0.603899 	 signal transduction  
Locus_10264_Transcript_3/3_Confidence_0.500_Length_2320_transcripts_v2_153 	 0.636121 	 RNA metabolism  
Locus_10264_Transcript_3/3_Confidence_0.500_Length_2320_transcripts_v2_153 	 0.636121 	 cell cycle and proliferation
Locus_10264_Transcript_3/3_Confidence_0.500_Length_2320_transcripts_v2_153 	 0.636121 	 death   
Locus_10264_Transcript_3/3_Confidence_0.500_Length_2320_transcripts_v2_153 	 0.636121 	 developmental processes  
Locus_10264_Transcript_3/3_Confidence_0.500_Length_2320_transcripts_v2_153 	 0.636121 	 other biological processes 
Locus_10264_Transcript_3/3_Confidence_0.500_Length_2320_transcripts_v2_153 	 0.636121 	 other metabolic processes 
Locus_10264_Transcript_3/3_Confidence_0.500_Length_2320_transcripts_v2_153 	 0.636121 	 protein metabolism  
Locus_10264_Transcript_3/3_Confidence_0.500_Length_2320_transcripts_v2_153 	 0.636121 	 signal transduction  
Locus_10264_Transcript_3/3_Confidence_0.500_Length_2320_transcripts_v2_153 	 0.636121 	 stress response  
Locus_10264_Transcript_3/3_Confidence_0.500_Length_2320_transcripts_v2_153 	 0.636121 	 transport   
Locus_10273_Transcript_1/1_Confidence_1.000_Length_193_transcripts_v2_9805 	 1.00376 	 RNA metabolism  
Locus_10273_Transcript_1/1_Confidence_1.000_Length_193_transcripts_v2_9805 	 1.00376 	 protein metabolism  
Locus_1029_Transcript_3/3_Confidence_0.333_Length_1623_transcripts_v2_433 	 0.830755 	 RNA metabolism  
Locus_1029_Transcript_3/3_Confidence_0.333_Length_1623_transcripts_v2_433 	 0.830755 	 cell adhesion  
Locus_1029_Transcript_3/3_Confidence_0.333_Length_1623_transcripts_v2_433 	 0.830755 	 cell cycle and proliferation
Locus_1029_Transcript_3/3_Confidence_0.333_Length_1623_transcripts_v2_433 	 0.830755 	 cell organization and biogenesis
Locus_1029_Transcript_3/3_Confidence_0.333_Length_1623_transcripts_v2_433 	 0.830755 	 death   
Locus_1029_Transcript_3/3_Confidence_0.333_Length_1623_transcripts_v2_433 	 0.830755 	 other biological processes 
Locus_1029_Transcript_3/3_Confidence_0.333_Length_1623_transcripts_v2_433 	 0.830755 	 other metabolic processes 
Locus_1029_Transcript_3/3_Confidence_0.333_Length_1623_transcripts_v2_433 	 0.830755 	 protein metabolism  
Locus_1029_Transcript_3/3_Confidence_0.333_Length_1623_transcripts_v2_433 	 0.830755 	 signal transduction  
Locus_10310_Transcript_1/1_Confidence_1.000_Length_295_transcripts_v2_6318 	 0.695865 	 other biological processes 
Locus_10310_Transcript_1/1_Confidence_1.000_Length_295_transcripts_v2_6318 	 0.695865 	 protein metabolism  
Locus_10313_Transcript_1/1_Confidence_1.000_Length_178_transcripts_v2_10693 	 1.11879 	 cell organization and biogenesis
Locus_10313_Transcript_1/1_Confidence_1.000_Length_178_transcripts_v2_10693 	 1.11879 	 other biological processes 
Locus_10313_Transcript_1/1_Confidence_1.000_Length_178_transcripts_v2_10693 	 1.11879 	 other metabolic processes 
Locus_10318_Transcript_1/1_Confidence_1.000_Length_710_transcripts_v2_2293 	 0.99514 	 other biological processes 
Locus_10318_Transcript_1/1_Confidence_1.000_Length_710_transcripts_v2_2293 	 0.99514 	 other metabolic processes 
Locus_10318_Transcript_1/1_Confidence_1.000_Length_710_transcripts_v2_2293 	 0.99514 	 stress response  
Locus_10319_Transcript_3/7_Confidence_0.400_Length_1838_transcripts_v2_292 	 0.752753 	 RNA metabolism  
Locus_10319_Transcript_3/7_Confidence_0.400_Length_1838_transcripts_v2_292 	 0.752753 	 cell cycle and proliferation
Locus_10319_Transcript_3/7_Confidence_0.400_Length_1838_transcripts_v2_292 	 0.752753 	 death   
Locus_10319_Transcript_3/7_Confidence_0.400_Length_1838_transcripts_v2_292 	 0.752753 	 developmental processes  
Locus_10319_Transcript_4/7_Confidence_0.133_Length_647_transcripts_v2_2657 	 0.629525 	 other biological processes 
Locus_10319_Transcript_5/7_Confidence_0.333_Length_1464_transcripts_v2_566 	 0.839317 	 RNA metabolism  
Locus_10336_Transcript_1/1_Confidence_1.000_Length_378_transcripts_v2_4947 	 0.72384 	 developmental processes  
Locus_10336_Transcript_1/1_Confidence_1.000_Length_378_transcripts_v2_4947 	 0.72384 	 signal transduction  
Locus_10355_Transcript_2/3_Confidence_0.400_Length_1077_transcripts_v2_1066 	 0.340298 	 developmental processes  
Locus_1035_Transcript_1/2_Confidence_0.800_Length_1141_transcripts_v2_933 	 0.458389 	 protein metabolism  
Locus_1035_Transcript_2/2_Confidence_0.800_Length_1442_transcripts_v2_587 	 0.588815 	 protein metabolism  
Locus_10360_Transcript_1/1_Confidence_1.000_Length_871_transcripts_v2_1626 	 0.697435 	 transport   
Locus_10363_Transcript_1/1_Confidence_1.000_Length_899_transcripts_v2_1520 	 0.957448 	 RNA metabolism  
Locus_10363_Transcript_1/1_Confidence_1.000_Length_899_transcripts_v2_1520 	 0.957448 	 death   
Locus_10363_Transcript_1/1_Confidence_1.000_Length_899_transcripts_v2_1520 	 0.957448 	 other metabolic processes 
Locus_10363_Transcript_1/1_Confidence_1.000_Length_899_transcripts_v2_1520 	 0.957448 	 protein metabolism  
Locus_10370_Transcript_1/1_Confidence_1.000_Length_787_transcripts_v2_1925 	 1.04638 	 RNA metabolism  
Locus_10370_Transcript_1/1_Confidence_1.000_Length_787_transcripts_v2_1925 	 1.04638 	 transport   
Locus_10377_Transcript_1/1_Confidence_1.000_Length_1015_transcripts_v2_1196 	 0.995463 	 other biological processes 
Locus_10377_Transcript_1/1_Confidence_1.000_Length_1015_transcripts_v2_1196 	 0.995463 	 other metabolic processes 
Locus_10384_Transcript_1/1_Confidence_1.000_Length_296_transcripts_v2_6288 	 0.494781 	 other metabolic processes 
Locus_1038_Transcript_1/4_Confidence_0.222_Length_1325_transcripts_v2_714 	 0.161875 	 other metabolic processes 
Locus_1038_Transcript_3/4_Confidence_0.444_Length_1669_transcripts_v2_397 	 0.133015 	 other metabolic processes 
Locus_10390_Transcript_2/4_Confidence_0.333_Length_939_transcripts_v2_1374 	 0.737358 	 cell cycle and proliferation
Locus_10390_Transcript_2/4_Confidence_0.333_Length_939_transcripts_v2_1374 	 0.737358 	 other biological processes 
Locus_10390_Transcript_2/4_Confidence_0.333_Length_939_transcripts_v2_1374 	 0.737358 	 other metabolic processes 
Locus_10390_Transcript_2/4_Confidence_0.333_Length_939_transcripts_v2_1374 	 0.737358 	 protein metabolism  
Locus_10395_Transcript_1/1_Confidence_1.000_Length_190_transcripts_v2_9960 	 0 	 DNA metabolism  
Locus_10395_Transcript_1/1_Confidence_1.000_Length_190_transcripts_v2_9960 	 0 	 RNA metabolism  
Locus_10399_Transcript_1/3_Confidence_0.625_Length_446_transcripts_v2_4155 	 0.917492 	 other metabolic processes 
Locus_10399_Transcript_1/3_Confidence_0.625_Length_446_transcripts_v2_4155 	 0.917492 	 protein metabolism  
Locus_10399_Transcript_2/3_Confidence_0.500_Length_685_transcripts_v2_2426 	 0.926485 	 other metabolic processes 
Locus_10399_Transcript_2/3_Confidence_0.500_Length_685_transcripts_v2_2426 	 0.926485 	 protein metabolism  
Locus_10399_Transcript_3/3_Confidence_0.750_Length_513_transcripts_v2_3571 	 0.963754 	 other metabolic processes 
Locus_10399_Transcript_3/3_Confidence_0.750_Length_513_transcripts_v2_3571 	 0.963754 	 protein metabolism  
Locus_10403_Transcript_1/1_Confidence_1.000_Length_216_transcripts_v2_8748 	 0.998127 	 cell cycle and proliferation
Locus_10403_Transcript_1/1_Confidence_1.000_Length_216_transcripts_v2_8748 	 0.998127 	 cell organization and biogenesis
Locus_10403_Transcript_1/1_Confidence_1.000_Length_216_transcripts_v2_8748 	 0.998127 	 other biological processes 
Locus_10403_Transcript_1/1_Confidence_1.000_Length_216_transcripts_v2_8748 	 0.998127 	 protein metabolism  
Locus_10404_Transcript_1/1_Confidence_1.000_Length_210_transcripts_v2_8995 	 1.07357 	 RNA metabolism  
Locus_10404_Transcript_1/1_Confidence_1.000_Length_210_transcripts_v2_8995 	 1.07357 	 cell cycle and proliferation
Locus_10404_Transcript_1/1_Confidence_1.000_Length_210_transcripts_v2_8995 	 1.07357 	 other metabolic processes 
Locus_10404_Transcript_1/1_Confidence_1.000_Length_210_transcripts_v2_8995 	 1.07357 	 protein metabolism  
Locus_10409_Transcript_1/1_Confidence_1.000_Length_1691_transcripts_v2_391 	 0.290836 	 signal transduction  
Locus_10418_Transcript_1/1_Confidence_1.000_Length_178_transcripts_v2_10695 	 0.831617 	 other metabolic processes 
Locus_10425_Transcript_1/1_Confidence_1.000_Length_276_transcripts_v2_6760 	 0.586872 	 developmental processes  
Locus_10441_Transcript_1/2_Confidence_1.000_Length_1148_transcripts_v2_921 	 0.415135 	 RNA metabolism  
Locus_10441_Transcript_1/2_Confidence_1.000_Length_1148_transcripts_v2_921 	 0.415135 	 developmental processes  
Locus_10441_Transcript_1/2_Confidence_1.000_Length_1148_transcripts_v2_921 	 0.415135 	 other biological processes 
Locus_10441_Transcript_2/2_Confidence_1.000_Length_1198_transcripts_v2_857 	 0.394928 	 RNA metabolism  
Locus_10441_Transcript_2/2_Confidence_1.000_Length_1198_transcripts_v2_857 	 0.394928 	 developmental processes  
Locus_10441_Transcript_2/2_Confidence_1.000_Length_1198_transcripts_v2_857 	 0.394928 	 other biological processes 
Locus_10442_Transcript_1/2_Confidence_1.000_Length_1125_transcripts_v2_959 	 0.678267 	 transport   
Locus_10442_Transcript_2/2_Confidence_1.000_Length_1116_transcripts_v2_988 	 0.681039 	 transport   
Locus_10445_Transcript_1/1_Confidence_1.000_Length_480_transcripts_v2_3834 	 1.18625 	 protein metabolism  
Locus_10445_Transcript_1/1_Confidence_1.000_Length_480_transcripts_v2_3834 	 1.18625 	 stress response  
Locus_10450_Transcript_1/1_Confidence_1.000_Length_415_transcripts_v2_4482 	 0.647531 	 DNA metabolism  
Locus_10450_Transcript_1/1_Confidence_1.000_Length_415_transcripts_v2_4482 	 0.647531 	 RNA metabolism  
Locus_10450_Transcript_1/1_Confidence_1.000_Length_415_transcripts_v2_4482 	 0.647531 	 cell organization and biogenesis
Locus_10450_Transcript_1/1_Confidence_1.000_Length_415_transcripts_v2_4482 	 0.647531 	 developmental processes  
Locus_10450_Transcript_1/1_Confidence_1.000_Length_415_transcripts_v2_4482 	 0.647531 	 other biological processes 
Locus_10450_Transcript_1/1_Confidence_1.000_Length_415_transcripts_v2_4482 	 0.647531 	 protein metabolism  
Locus_10450_Transcript_1/1_Confidence_1.000_Length_415_transcripts_v2_4482 	 0.647531 	 stress response  
Locus_10450_Transcript_1/1_Confidence_1.000_Length_415_transcripts_v2_4482 	 0.647531 	 transport   
Locus_10457_Transcript_1/1_Confidence_1.000_Length_542_transcripts_v2_3337 	 0.108644 	 RNA metabolism  
Locus_10458_Transcript_1/1_Confidence_1.000_Length_227_transcripts_v2_8278 	 0.837482 	 cell adhesion  
Locus_1045_Transcript_1/10_Confidence_0.346_Length_3544_transcripts_v2_40 	 0.712269 	 other biological processes 
Locus_1045_Transcript_1/10_Confidence_0.346_Length_3544_transcripts_v2_40 	 0.712269 	 transport   
Locus_1045_Transcript_10/10_Confidence_0.500_Length_4004_transcripts_v2_32 	 0.755078 	 other biological processes 
Locus_1045_Transcript_10/10_Confidence_0.500_Length_4004_transcripts_v2_32 	 0.755078 	 transport   
Locus_1045_Transcript_7/10_Confidence_0.346_Length_3353_transcripts_v2_51 	 0.662963 	 other biological processes 
Locus_1045_Transcript_7/10_Confidence_0.346_Length_3353_transcripts_v2_51 	 0.662963 	 transport   
Locus_1045_Transcript_8/10_Confidence_0.423_Length_4004_transcripts_v2_31 	 0.754175 	 other biological processes 
Locus_1045_Transcript_8/10_Confidence_0.423_Length_4004_transcripts_v2_31 	 0.754175 	 transport   
Locus_10462_Transcript_1/1_Confidence_1.000_Length_431_transcripts_v2_4304 	 1.01182 	 cell cycle and proliferation
Locus_10462_Transcript_1/1_Confidence_1.000_Length_431_transcripts_v2_4304 	 1.01182 	 cell organization and biogenesis
Locus_10462_Transcript_1/1_Confidence_1.000_Length_431_transcripts_v2_4304 	 1.01182 	 developmental processes  
Locus_10462_Transcript_1/1_Confidence_1.000_Length_431_transcripts_v2_4304 	 1.01182 	 other biological processes 
Locus_10462_Transcript_1/1_Confidence_1.000_Length_431_transcripts_v2_4304 	 1.01182 	 other metabolic processes 
Locus_10462_Transcript_1/1_Confidence_1.000_Length_431_transcripts_v2_4304 	 1.01182 	 protein metabolism  
Locus_10462_Transcript_1/1_Confidence_1.000_Length_431_transcripts_v2_4304 	 1.01182 	 signal transduction  
Locus_10462_Transcript_1/1_Confidence_1.000_Length_431_transcripts_v2_4304 	 1.01182 	 transport   
Locus_10463_Transcript_1/1_Confidence_1.000_Length_1081_transcripts_v2_1062 	 0.401289 	 RNA metabolism  
Locus_10463_Transcript_1/1_Confidence_1.000_Length_1081_transcripts_v2_1062 	 0.401289 	 cell organization and biogenesis
Locus_10463_Transcript_1/1_Confidence_1.000_Length_1081_transcripts_v2_1062 	 0.401289 	 developmental processes  
Locus_10463_Transcript_1/1_Confidence_1.000_Length_1081_transcripts_v2_1062 	 0.401289 	 other metabolic processes 
Locus_10463_Transcript_1/1_Confidence_1.000_Length_1081_transcripts_v2_1062 	 0.401289 	 signal transduction  
Locus_10473_Transcript_4/4_Confidence_0.333_Length_665_transcripts_v2_2542 	 0.944683 	 cell organization and biogenesis
Locus_10473_Transcript_4/4_Confidence_0.333_Length_665_transcripts_v2_2542 	 0.944683 	 developmental processes  
Locus_10473_Transcript_4/4_Confidence_0.333_Length_665_transcripts_v2_2542 	 0.944683 	 other biological processes 
Locus_10473_Transcript_4/4_Confidence_0.333_Length_665_transcripts_v2_2542 	 0.944683 	 transport   
Locus_10476_Transcript_1/1_Confidence_1.000_Length_233_transcripts_v2_8053 	 0.512886 	 transport   
Locus_10477_Transcript_1/1_Confidence_1.000_Length_862_transcripts_v2_1651 	 1.01421 	 cell cycle and proliferation
Locus_10477_Transcript_1/1_Confidence_1.000_Length_862_transcripts_v2_1651 	 1.01421 	 other metabolic processes 
Locus_10477_Transcript_1/1_Confidence_1.000_Length_862_transcripts_v2_1651 	 1.01421 	 protein metabolism  
Locus_10478_Transcript_10/15_Confidence_0.370_Length_2672_transcripts_v2_101 	 0.562778 	 cell adhesion  
Locus_10478_Transcript_10/15_Confidence_0.370_Length_2672_transcripts_v2_101 	 0.562778 	 cell cycle and proliferation
Locus_10478_Transcript_10/15_Confidence_0.370_Length_2672_transcripts_v2_101 	 0.562778 	 cell organization and biogenesis
Locus_10478_Transcript_10/15_Confidence_0.370_Length_2672_transcripts_v2_101 	 0.562778 	 developmental processes  
Locus_10478_Transcript_10/15_Confidence_0.370_Length_2672_transcripts_v2_101 	 0.562778 	 other biological processes 
Locus_10478_Transcript_10/15_Confidence_0.370_Length_2672_transcripts_v2_101 	 0.562778 	 other metabolic processes 
Locus_10478_Transcript_10/15_Confidence_0.370_Length_2672_transcripts_v2_101 	 0.562778 	 protein metabolism  
Locus_10478_Transcript_10/15_Confidence_0.370_Length_2672_transcripts_v2_101 	 0.562778 	 signal transduction  
